id,title,state,agency,source,source_url,document_url,document_type,due_date,posted_date,last_checked_at,last_updated_at,budget_estimate,eligibility,eligibility_reason,fit_score,ai_recommendation,status,program_focus,keywords_matched,risks,summary
usaspending-CONT_AWD_75FCMC24F0070_7530_75FCMC19D0096_7530,"THE LEWIN GROUP, INC.: THE GUIDING AN IMPROVED DEMENTIA EXPERIENCE (GUIDE) MODEL IMPLEMENTATION AND MONITORING CONTRACT",Federal,"Department of Health and Human Services, Centers for Medicare and Medicaid Services",USAspending.gov Awards API,https://api.usaspending.gov/api/v2/search/spending_by_award/,https://www.usaspending.gov/search/,Recompete Signal,2027-03-24,2024-03-25,2026-07-23T22:01:44Z,2026-07-23T22:01:44Z,27253396,Review Needed,Award history signal; use incumbent and end date to prepare for recompete.,76,Monitor,Unreviewed,Medicaid;CMS/Medicare,medicaid;medicare,,"Recipient: THE LEWIN GROUP, INC. | Award ID: 75FCMC24F0070 | NAICS: 541720 | PSC: AN42 | Recompete: Expiring soon | THE GUIDING AN IMPROVED DEMENTIA EXPERIENCE (GUIDE) MODEL IMPLEMENTATION AND MONITORING CONTRACT"
usaspending-CONT_AWD_75FCMC24F0036_7530_75FCMC19D0096_7530,"THE LEWIN GROUP, INC.: STATES ADVANCING AHEAD MODEL IMPLEMENTATION TOTAL POP: 1/31/24 - 1/30/34",Federal,"Department of Health and Human Services, Centers for Medicare and Medicaid Services",USAspending.gov Awards API,https://api.usaspending.gov/api/v2/search/spending_by_award/,https://www.usaspending.gov/search/,Recompete Signal,2027-01-30,2024-01-30,2026-07-23T22:01:44Z,2026-07-23T22:01:44Z,29428669,Review Needed,Award history signal; use incumbent and end date to prepare for recompete.,76,Monitor,Unreviewed,Medicaid;CMS/Medicare,medicaid;medicare,,"Recipient: THE LEWIN GROUP, INC. | Award ID: 75FCMC24F0036 | NAICS: 541720 | PSC: AN42 | Recompete: Expiring soon | STATES ADVANCING AHEAD MODEL IMPLEMENTATION TOTAL POP: 1/31/24 - 1/30/34"
usaspending-CONT_AWD_75FCMC24F0028_7530_75FCMC19D0096_7530,"THE LEWIN GROUP, INC.: THE PURPOSE OF THIS TASK ORDER IS TO CONTRACT FOR THE EVALUATION OF THE ENHANCING ONCOLOGY CARE MODEL.",Federal,"Department of Health and Human Services, Centers for Medicare and Medicaid Services",USAspending.gov Awards API,https://api.usaspending.gov/api/v2/search/spending_by_award/,https://www.usaspending.gov/search/,Recompete Signal,2027-01-21,2024-01-22,2026-07-23T22:01:44Z,2026-07-23T22:01:44Z,9861652,Review Needed,Award history signal; use incumbent and end date to prepare for recompete.,76,Monitor,Unreviewed,Medicaid;CMS/Medicare,medicaid;medicare,,"Recipient: THE LEWIN GROUP, INC. | Award ID: 75FCMC24F0028 | NAICS: 541720 | PSC: AN42 | Recompete: Expiring soon | THE PURPOSE OF THIS TASK ORDER IS TO CONTRACT FOR THE EVALUATION OF THE ENHANCING ONCOLOGY CARE MODEL."
usaspending-CONT_AWD_75FCMC19F0006_7530_HHSM500201400033I_7530,"THE LEWIN GROUP, INC.: INTEGRATED CARE FOR KIDS (INCK) MODEL IMPLEMENTATION AND MONITORING CONTRACT",Federal,"Department of Health and Human Services, Centers for Medicare and Medicaid Services",USAspending.gov Awards API,https://api.usaspending.gov/api/v2/search/spending_by_award/,https://www.usaspending.gov/search/,Recompete Signal,2027-09-22,2019-09-23,2026-07-23T22:01:44Z,2026-07-23T22:01:44Z,12979725,Review Needed,Award history signal; use incumbent and end date to prepare for recompete.,76,Monitor,Unreviewed,Medicaid;CMS/Medicare,medicaid;medicare,,"Recipient: THE LEWIN GROUP, INC. | Award ID: 75FCMC19F0006 | NAICS: 541720 | PSC: R499 | Recompete: Expiring soon | INTEGRATED CARE FOR KIDS (INCK) MODEL IMPLEMENTATION AND MONITORING CONTRACT"
usaspending-CONT_AWD_75FCMC19F0029_7530_GS00F053GA_4732,"THE LEWIN GROUP, INC.: PAYMENT ERROR RATE MEASUREMENT STATISTICAL CONTRACTOR",Federal,"Department of Health and Human Services, Centers for Medicare and Medicaid Services",USAspending.gov Awards API,https://api.usaspending.gov/api/v2/search/spending_by_award/,https://www.usaspending.gov/search/,Recompete Signal,2029-02-28,2019-02-28,2026-07-23T22:01:44Z,2026-07-23T22:01:44Z,43006053,Review Needed,Award history signal; use incumbent and end date to prepare for recompete.,76,Monitor,Unreviewed,Medicaid;CMS/Medicare,medicaid;medicare,,"Recipient: THE LEWIN GROUP, INC. | Award ID: 75FCMC19F0029 | NAICS: 541611 | PSC: R410 | Recompete: Recompete watch | PAYMENT ERROR RATE MEASUREMENT STATISTICAL CONTRACTOR"
usaspending-CONT_AWD_HHSM500201700081G_7530_GS00F053GA_4732,"THE LEWIN GROUP, INC.: IGF::OT::IGF CERT SC",Federal,"Department of Health and Human Services, Centers for Medicare and Medicaid Services",USAspending.gov Awards API,https://api.usaspending.gov/api/v2/search/spending_by_award/,https://www.usaspending.gov/search/,Recompete Signal,2027-07-31,2017-08-01,2026-07-23T22:01:44Z,2026-07-23T22:01:44Z,15932346,Review Needed,Award history signal; use incumbent and end date to prepare for recompete.,76,Monitor,Unreviewed,Medicaid;CMS/Medicare,medicaid;medicare,,"Recipient: THE LEWIN GROUP, INC. | Award ID: HHSM500201700081G | NAICS: 541611 | PSC: R410 | Recompete: Expiring soon | IGF::OT::IGF CERT SC"
usaspending-CONT_AWD_50310221F0112_5000_50310218D0027_5000,"MAXIMUS FEDERAL TECHNOLOGY SOLUTIONS, LLC: SEC ENTERPRISE EDGAR SYSTEM SUPPORT SERVICES",Federal,"Securities and Exchange Commission, Securities and Exchange Commission",USAspending.gov Awards API,https://api.usaspending.gov/api/v2/search/spending_by_award/,https://www.usaspending.gov/search/,Recompete Signal,2026-12-15,2021-09-27,2026-07-23T22:01:44Z,2026-07-23T22:01:44Z,159485592,Review Needed,Award history signal; use incumbent and end date to prepare for recompete.,72,Monitor,Unreviewed,Medicaid,MMIS,,"Recipient: MAXIMUS FEDERAL TECHNOLOGY SOLUTIONS, LLC | Award ID: 50310221F0112 | NAICS: 541512 | PSC: DA10 | Recompete: Expiring soon | SEC ENTERPRISE EDGAR SYSTEM SUPPORT SERVICES"
medicaid-5abea2e0-3f8e-4b49-a50d-d63d5fd9103c,State Medicaid and CHIP Eligibility Processing Data,Federal,data.medicaid.gov,data.medicaid.gov Catalog API,https://data.medicaid.gov/api/1/metastore/schemas/dataset/items,https://download.medicaid.gov/data/renewal-dataset-june-2026-release.csv,Dataset update,,2026-06-26,2026-07-23T22:01:38Z,2026-07-23T22:01:38Z,0,Review Needed,Public update; review source document for vendor relevance.,70,Monitor,Unreviewed,Medicaid;CMS/Medicare,CMS;eligibility;enrollment;grant;medicaid;medicare,"Budget not explicitly stated;Informational signal, not a direct procurement","All states (including the District of Columbia) provide data to the Centers for Medicare &amp; Medicaid Services (CMS) on a range of Medicaid and Children’s Health Insurance Program (CHIP) eligibility and enrollment metrics. These data reflect state-reported information on Medicaid and CHIP eligibility renewals initiated and scheduled for completion during the reporting period. In addition to reporting the outcomes of renewals at the end of each reporting period, states also provide an update on renewals that were reported pending as of the end of a reporting period. For more information on these data, see Sections II and III of the <a href=""https://www.medicaid.gov/resources-for-states/dow..."
cms_provider-ijh5-nb2v,Medicare Claims Quality Measures,Federal,Centers for Medicare & Medicaid Services (CMS),CMS Provider Data Catalog API,https://data.cms.gov/provider-data/api/1/metastore/schemas/dataset/items,https://data.cms.gov/provider-data/dataset/ijh5-nb2v,Dataset update,2026-07-29,2026-06-24,2026-07-23T22:01:39Z,2026-07-23T22:01:39Z,0,Review Needed,Public update; review source document for vendor relevance.,70,Monitor,Unreviewed,Medicaid;CMS/Medicare,claims;CMS;medicaid;medicare;quality measures,"Short response window;Budget not explicitly stated;Informational signal, not a direct procurement",Quality measures that are based on Medicare claims data. Each row contains a specific quality measure for a specific nursing home and includes the risk-adjusted score.
usaspending-CONT_AWD_89603024F0002_8960_89303019AIM000005_8900,ACCENTURE FEDERAL SERVICES LLC: CORE IT SERVICES - CBOSS BPA,Federal,"Department of Energy, Federal Energy Regulatory Commission",USAspending.gov Awards API,https://api.usaspending.gov/api/v2/search/spending_by_award/,https://www.usaspending.gov/search/,Recompete Signal,2027-09-28,2024-01-01,2026-07-23T22:01:44Z,2026-07-23T22:01:44Z,141084384,Review Needed,Award history signal; use incumbent and end date to prepare for recompete.,68,Monitor,Unreviewed,Medicaid,MMIS,,Recipient: ACCENTURE FEDERAL SERVICES LLC | Award ID: 89603024F0002 | NAICS: 541512 | PSC: DF01 | Recompete: Expiring soon | CORE IT SERVICES - CBOSS BPA
usaspending-CONT_AWD_2032H521F00346_2050_47QTCK18D0044_4732,"MAXIMUS FEDERAL SERVICES, INC.: MASTERFILE SYSTEM PROGRAMMING SUPPORT SERVICES COVID-19",Federal,"Department of the Treasury, Internal Revenue Service",USAspending.gov Awards API,https://api.usaspending.gov/api/v2/search/spending_by_award/,https://www.usaspending.gov/search/,Recompete Signal,2026-11-30,2021-06-01,2026-07-23T22:01:44Z,2026-07-23T22:01:44Z,112456030,Review Needed,Award history signal; use incumbent and end date to prepare for recompete.,68,Monitor,Unreviewed,Procurement,RFI,,"Recipient: MAXIMUS FEDERAL SERVICES, INC. | Award ID: 2032H521F00346 | NAICS: 541512 | PSC: DA10 | Recompete: Expiring soon | MASTERFILE SYSTEM PROGRAMMING SUPPORT SERVICES COVID-19"
medicaid-6165f45b-ca93-5bb5-9d06-db29c692a360,"State Medicaid and CHIP Applications, Eligibility Determinations, and Enrollment Data",Federal,data.medicaid.gov,data.medicaid.gov Catalog API,https://data.medicaid.gov/api/1/metastore/schemas/dataset/items,https://download.medicaid.gov/data/pi-dataset-june-2026-release.csv,Dataset update,,2026-06-26,2026-07-23T22:01:38Z,2026-07-23T22:01:38Z,0,Review Needed,Public update; review source document for vendor relevance.,66,Monitor,Unreviewed,Medicaid;CMS/Medicare,CMS;eligibility;enrollment;medicaid;medicare,"Budget not explicitly stated;Informational signal, not a direct procurement","All states (including the District of Columbia) are required to provide data to The Centers for Medicare &amp; Medicaid Services (CMS) on a range of Medicaid and Children’s Health Insurance Program (CHIP) indicators related to key application, eligibility, enrollment and call center processes. These data reflect enrollment activity for all populations receiving comprehensive Medicaid and CHIP benefits in all states, as well as state program performance.<br /> States submit this data via the Performance Indicator dataset. Further information about this dataset is available at: <a href=""https://www.medicaid.gov/medicaid/national-medicaid-chip-program-information/medicaid-chip-enrollment-data/..."
federal_register-2026-13918,Medicare and Medicaid Programs; Application From The Joint Commission for Continued CMS Approval of Its Home Health Agency (HHA) Accreditation Program,Federal,"Health and Human Services Department, Centers for Medicare & Medicaid Services",Federal Register API,https://www.federalregister.gov/api/v1/documents.json,https://www.federalregister.gov/documents/2026/07/10/2026-13918/medicare-and-medicaid-programs-application-from-the-joint-commission-for-continued-cms-approval-of,Notice,,2026-07-10,2026-07-23T22:01:38Z,2026-07-23T22:01:38Z,0,Review Needed,Public update; review source document for vendor relevance.,64,Monitor,Unreviewed,Medicaid;CMS/Medicare,CMS;medicaid;medicare;MMIS,"Budget not explicitly stated;Policy signal, not a direct procurement",This notice announces our decision to approve The Joint Commission for continued CMS recognition as a national accrediting organization for home health agencies that wish to participate in the Medicare or Medicaid programs.
cms_provider-mj5m-pzi6,National Downloadable File,Federal,Centers for Medicare & Medicaid Services (CMS),CMS Provider Data Catalog API,https://data.cms.gov/provider-data/api/1/metastore/schemas/dataset/items,https://data.cms.gov/provider-data/dataset/mj5m-pzi6,Dataset update,2026-08-13,2026-07-09,2026-07-23T22:01:39Z,2026-07-23T22:01:39Z,0,Review Needed,Public update; review source document for vendor relevance.,64,Monitor,Unreviewed,Medicaid;CMS/Medicare,CMS;enrollment;medicaid;medicare,"Short response window;Budget not explicitly stated;Informational signal, not a direct procurement",The Doctors and Clinicians national downloadable file is organized such that each line is unique at the clinician/enrollment record/group/address level. Clinicians with multiple Medicare enrollment records and/or single enrollments linking to multiple practice locations are listed on multiple lines.
usaspending-CONT_AWD_89233125FNA000176_8900_89303019AIM000005_8900,"ACCENTURE FEDERAL SERVICES LLC: THE NNSA OCIO IS IN NEED OF IT OPERATIONS TO INCLUDE: SERVICE OPERATIONS AND MANAGEMENT SERVICES, PATCH MANAGEMENT, HOSTING AND CLOUD SERVICES, CYBERSECURITY SUPPORT SERVICES, UNIFIED COMMUNICATIONS AND MESSAGING SERVICES (UCMS...",Federal,"Department of Energy, Department of Energy",USAspending.gov Awards API,https://api.usaspending.gov/api/v2/search/spending_by_award/,https://www.usaspending.gov/search/,Recompete Signal,2027-01-22,2025-01-23,2026-07-23T22:01:44Z,2026-07-23T22:01:44Z,90312434,Review Needed,Award history signal; use incumbent and end date to prepare for recompete.,62,Monitor,Unreviewed,CMS/Medicare,CMS,,"Recipient: ACCENTURE FEDERAL SERVICES LLC | Award ID: 89233125FNA000176 | NAICS: 541512 | PSC: DA01 | Recompete: Expiring soon | THE NNSA OCIO IS IN NEED OF IT OPERATIONS TO INCLUDE: SERVICE OPERATIONS AND MANAGEMENT SERVICES, PATCH MANAGEMENT, HOSTING AND CLOUD SERVICES, CYBERSECURITY SUPPORT SERVICES, UNIFIED COMMUNICATIONS AND MESSAGING SERVICES (UCMS) AND SOFTWARE DEVELOPM"
federal_register-2026-14358,Request for Information; Clinical Laboratory Improvement Amendments of 1988 (CLIA) Regulations,Federal,"Health and Human Services Department, Centers for Medicare & Medicaid Services",Federal Register API,https://www.federalregister.gov/api/v1/documents.json,https://www.federalregister.gov/documents/2026/07/16/2026-14358/request-for-information-clinical-laboratory-improvement-amendments-of-1988-clia-regulations,Proposed Rule,,2026-07-16,2026-07-23T22:01:38Z,2026-07-23T22:01:38Z,0,Review Needed,Public update; review source document for vendor relevance.,60,Monitor,Unreviewed,Procurement;Medicaid;CMS/Medicare,CMS;medicaid;medicare;RFI,"Budget not explicitly stated;Policy signal, not a direct procurement","Clinical laboratory testing technology has advanced significantly since the Clinical Laboratory Improvement Amendments of 1988 (CLIA) regulations were implemented in 1992. This request for information (RFI) seeks input from the public regarding various topics related to the CLIA regulations, including: breath testing; laboratory processes and procedures; emergency preparedness, biosafety and biosecurity, and cybersecurity; and specialty testing areas. Responses to this RFI may be used to help inform CMS and the CDC as to what types of action, if any, should be taken to update the existing CLIA regulations through future notice and comment rulemaking."
federal_register-2026-14327,Medicare and Medicaid Programs; CY 2027 Payment Policies Under the Physician Fee Schedule and Other Changes to Part B Payment and Coverage Policies; Medicare Shared Savings Program Requirements; and Medicare Prescription Drug Inflation Rebate Program,Federal,"Health and Human Services Department, Centers for Medicare & Medicaid Services",Federal Register API,https://www.federalregister.gov/api/v1/documents.json,https://www.federalregister.gov/documents/2026/07/16/2026-14327/medicare-and-medicaid-programs-cy-2027-payment-policies-under-the-physician-fee-schedule-and-other,Proposed Rule,,2026-07-16,2026-07-23T22:01:38Z,2026-07-23T22:01:38Z,0,Review Needed,Public update; review source document for vendor relevance.,60,Monitor,Unreviewed,Medicaid;CMS/Medicare;Rural Health;Interoperability,interoperability;medicaid;medicare;rural health,"Budget not explicitly stated;Policy signal, not a direct procurement","This proposed rule addresses: changes to the physician fee schedule (PFS); other changes to Medicare Part B payment policies to ensure that payment systems are updated to reflect changes in medical practice, relative value of services, and changes in the statute; codification of establishment of new policies for: the Medicare Prescription Drug Inflation Rebate Program under the Inflation Reduction Act of 2022; the Ambulatory Specialty Model; updates to drugs and biological products paid under Part B; Medicare Shared Savings Program requirements; updates to the Quality Payment Program; updates to policies for Rural Health Clinics and Federally Qualified Health Centers; update to the Ambulanc..."
federal_register-2026-13671,Privacy Act of 1974; Matching Program,Federal,"Health and Human Services Department, Centers for Medicare & Medicaid Services",Federal Register API,https://www.federalregister.gov/api/v1/documents.json,https://www.federalregister.gov/documents/2026/07/07/2026-13671/privacy-act-of-1974-matching-program,Notice,,2026-07-07,2026-07-23T22:01:38Z,2026-07-23T22:01:38Z,0,Review Needed,Public update; review source document for vendor relevance.,60,Monitor,Unreviewed,Medicaid;CMS/Medicare,CMS;eligibility;medicaid;medicare,"Budget not explicitly stated;Policy signal, not a direct procurement","In accordance with subsection (e)(12) of the Privacy Act of 1974, as amended, the Department of Health and Human Services (HHS), Centers for Medicare & Medicaid Services (CMS) is providing notice of a re-established matching program between CMS and the Department of Veterans Affairs (VA), Veterans Health Administration (VHA), titled, ""Verification of Eligibility for Minimum Essential Coverage Under the Patient Protection and Affordable Care Act"". Under this Matching Program, CMS will share data with the VA to verify if an applicant is enrolled in Minimum Essential Coverage in a Veterans Health Administration Health Care Program. This information from the VA will be used to assist CMS to det..."
federal_register-2026-13602,"Calendar Year 2027 Home Health Prospective Payment System (HH PPS) Rate Update; Requirements for the HH Quality Reporting Program and the Expanded HH Value-Based Purchasing Model; Medicare Provider Enrollment, Durable Medical Equipment (DME), and DME, Prosthe...",Federal,"Health and Human Services Department, Centers for Medicare & Medicaid Services",Federal Register API,https://www.federalregister.gov/api/v1/documents.json,https://www.federalregister.gov/documents/2026/07/06/2026-13602/calendar-year-2027-home-health-prospective-payment-system-hh-pps-rate-update-requirements-for-the-hh,Proposed Rule,,2026-07-06,2026-07-23T22:01:38Z,2026-07-23T22:01:38Z,0,Review Needed,Public update; review source document for vendor relevance.,60,Monitor,Unreviewed,Procurement;Medicaid;CMS/Medicare,enrollment;medicaid;medicare;RFI,"Budget not explicitly stated;Policy signal, not a direct procurement","This proposed rule would set forth routine updates to the Medicare home health payment rates in accordance with existing statutory and regulatory requirements. In addition, this proposed rule discusses the behavior adjustment and proposes a temporary behavior adjustment and proposes to recalibrate the case-mix weights and update the functional impairment levels; comorbidity subgroups; and low- utilization payment adjustment (LUPA) thresholds for CY 2027. Additionally, this proposed rule discusses the provision of home health palliative care services and includes a request for information (RFI) on a home health specific wage index. This rule would also propose changes to the Home Health Qual..."
federal_register-2026-13572,Privacy Act of 1974; Matching Program,Federal,"Health and Human Services Department, Centers for Medicare & Medicaid Services",Federal Register API,https://www.federalregister.gov/api/v1/documents.json,https://www.federalregister.gov/documents/2026/07/06/2026-13572/privacy-act-of-1974-matching-program,Notice,,2026-07-06,2026-07-23T22:01:38Z,2026-07-23T22:01:38Z,0,Review Needed,Public update; review source document for vendor relevance.,60,Monitor,Unreviewed,Medicaid;CMS/Medicare,CMS;eligibility;medicaid;medicare,"Budget not explicitly stated;Policy signal, not a direct procurement","In accordance with subsection (e)(12) of the Privacy Act of 1974, as amended, the Department of Health and Human Services (HHS), Centers for Medicare & Medicaid Services (CMS) is providing notice of a new matching program between CMS and the Department of Veterans Affairs (VA), ""Verification of Eligibility for Insurance Affordability Programs Under the Patient Protection and Affordable Care Act."""
federal_register-2026-13099,Privacy Act of 1974; Matching Program,Federal,"Health and Human Services Department, Centers for Medicare & Medicaid Services",Federal Register API,https://www.federalregister.gov/api/v1/documents.json,https://www.federalregister.gov/documents/2026/06/30/2026-13099/privacy-act-of-1974-matching-program,Notice,,2026-06-30,2026-07-23T22:01:38Z,2026-07-23T22:01:38Z,0,Review Needed,Public update; review source document for vendor relevance.,60,Monitor,Unreviewed,Medicaid;CMS/Medicare,CMS;eligibility;medicaid;medicare,"Budget not explicitly stated;Policy signal, not a direct procurement","In accordance with the Privacy Act of 1974, as amended, the Department of Health and Human Services (HHS), Centers for Medicare & Medicaid Services (CMS) is providing notice of the re-establishment of a matching program between CMS and the Peace Corps for ""Verification of Eligibility for Minimum Essential Coverage Under the Patient Protection and Affordable Care Act through a Peace Corps Health Benefit Plan."""
cms_provider-djen-97ju,MDS Quality Measures,Federal,Centers for Medicare & Medicaid Services (CMS),CMS Provider Data Catalog API,https://data.cms.gov/provider-data/api/1/metastore/schemas/dataset/items,https://data.cms.gov/provider-data/dataset/djen-97ju,Dataset update,2026-07-29,2026-06-24,2026-07-23T22:01:39Z,2026-07-23T22:01:39Z,0,Review Needed,Public update; review source document for vendor relevance.,60,Monitor,Unreviewed,Medicaid;CMS/Medicare,CMS;medicaid;medicare;quality measures,"Short response window;Budget not explicitly stated;Informational signal, not a direct procurement",Quality measures that are based on the resident assessments that make up the nursing home Minimum Data Set (MDS). Each row contains a specific quality measure for a specific nursing home and includes the 4-quarter score average and scores for each individual quarter.
cms_provider-qmdc-9999,Nursing Home Data Collection Intervals,Federal,Centers for Medicare & Medicaid Services (CMS),CMS Provider Data Catalog API,https://data.cms.gov/provider-data/api/1/metastore/schemas/dataset/items,https://data.cms.gov/provider-data/dataset/qmdc-9999,Dataset update,2026-07-29,2026-06-24,2026-07-23T22:01:39Z,2026-07-23T22:01:39Z,0,Review Needed,Public update; review source document for vendor relevance.,60,Monitor,Unreviewed,Medicaid;CMS/Medicare,CMS;medicaid;medicare;quality measures,"Short response window;Budget not explicitly stated;Informational signal, not a direct procurement",This table lists the data collection periods for the quality measures displayed for Nursing Homes including Rehab Services as well as the intervals for complaint citations and citations on focused infection control inspections. It also includes the data collection period for the nursing home staffing measures. The data collection periods for some short-stay measures differ slightly from the measure periods in the MDS Quality Measure file due to the look-back periods for these measures.
usaspending-CONT_AWD_47QFCA24C0003_4732_-NONE-_-NONE,"DELOITTE CONSULTING LLP: THIS CONTRACT IS TO PROVIDE LABOR, MATERIALS, AND EQUIPMENT NEEDED TO DEVELOP AND EXPAND THE SIZE AND CAPABILITY OF THE MARITIME SUBMARINE WORKFORCE AND INDUSTRIAL BASE AND SPEED THE DEVELOPMENT OF IMPROVED MANUFACTURING TECHNOLOGIES...",Federal,"General Services Administration, Federal Acquisition Service",USAspending.gov Awards API,https://api.usaspending.gov/api/v2/search/spending_by_award/,https://www.usaspending.gov/search/,Recompete Signal,2026-07-14,2024-07-15,2026-07-23T22:01:44Z,2026-07-23T22:01:44Z,438393728,Review Needed,Award history signal; use incumbent and end date to prepare for recompete.,59,Monitor,Unreviewed,Rural Health,workforce,Past deadline,"Recipient: DELOITTE CONSULTING LLP | Award ID: 47QFCA24C0003 | NAICS: 541715 | PSC: AC32 | Recompete: Expiring soon | THIS CONTRACT IS TO PROVIDE LABOR, MATERIALS, AND EQUIPMENT NEEDED TO DEVELOP AND EXPAND THE SIZE AND CAPABILITY OF THE MARITIME SUBMARINE WORKFORCE AND INDUSTRIAL BASE AND SPEED THE DEVELOPMENT OF IMPROVED MANUFACTURING TECHNOLOGIES TO SUPPLY CHAIN."
cms_provider-27ea-46a8,Facility Affiliation Data,Federal,Centers for Medicare & Medicaid Services (CMS),CMS Provider Data Catalog API,https://data.cms.gov/provider-data/api/1/metastore/schemas/dataset/items,https://data.cms.gov/provider-data/dataset/27ea-46a8,Dataset update,2026-08-13,2026-07-09,2026-07-23T22:01:39Z,2026-07-23T22:01:39Z,0,Review Needed,Public update; review source document for vendor relevance.,58,Monitor,Unreviewed,Medicaid;CMS/Medicare,CMS;medicaid;medicare;provider data,"Short response window;Budget not explicitly stated;Informational signal, not a direct procurement",This is the facility affiliations data publicly reported in the Provider Data Catalog.
cms_provider-n0yb-util,Utilization Data,Federal,Centers for Medicare & Medicaid Services (CMS),CMS Provider Data Catalog API,https://data.cms.gov/provider-data/api/1/metastore/schemas/dataset/items,https://data.cms.gov/provider-data/dataset/n0yb-util,Dataset update,2026-08-13,2026-07-09,2026-07-23T22:01:39Z,2026-07-23T22:01:39Z,0,Review Needed,Public update; review source document for vendor relevance.,58,Monitor,Unreviewed,Medicaid;CMS/Medicare,CMS;medicaid;medicare;provider data,"Short response window;Budget not explicitly stated;Informational signal, not a direct procurement",The Doctors and Clinicians utilization data file reports volume information for procedures of interest on clinician profile pages and in the provider data catalog (PDC) to inform patients and caregivers about clinicians' experience.
cms_provider-fykj-qjee,Skilled Nursing Facility Quality Reporting Program - Provider Data,Federal,Centers for Medicare & Medicaid Services (CMS),CMS Provider Data Catalog API,https://data.cms.gov/provider-data/api/1/metastore/schemas/dataset/items,https://data.cms.gov/provider-data/dataset/fykj-qjee,Dataset update,2026-07-29,2026-06-24,2026-07-23T22:01:39Z,2026-07-23T22:01:39Z,0,Review Needed,Public update; review source document for vendor relevance.,58,Monitor,Unreviewed,Medicaid;CMS/Medicare,CMS;medicaid;medicare;provider data,"Short response window;Budget not explicitly stated;Informational signal, not a direct procurement","Skilled Nursing Facilities (SNFs) provide Medicare Part A SNF services to beneficiaries and must report data on certain measures of quality to Medicare through the Skilled Nursing Facility Quality Reporting Program (SNF QRP). This file contains a list of SNFs, as well as their results on the quality of resident care measures implemented under the IMPACT Act."
cms_provider-23ew-n7w9,Dialysis Facility - Listing by Facility,Federal,Centers for Medicare & Medicaid Services (CMS),CMS Provider Data Catalog API,https://data.cms.gov/provider-data/api/1/metastore/schemas/dataset/items,https://data.cms.gov/provider-data/dataset/23ew-n7w9,Dataset update,2026-10-28,2026-07-15,2026-07-23T22:01:39Z,2026-07-23T22:01:39Z,0,Review Needed,Public update; review source document for vendor relevance.,56,Monitor,Unreviewed,Medicaid;CMS/Medicare,CMS;medicaid;medicare;quality measures,"Budget not explicitly stated;Informational signal, not a direct procurement","A list of all dialysis facilities registered with Medicare that includes addresses and phone numbers, as well as services and quality of care provided."
cms_provider-2fpu-cgbb,Dialysis Facility - State Averages,Federal,Centers for Medicare & Medicaid Services (CMS),CMS Provider Data Catalog API,https://data.cms.gov/provider-data/api/1/metastore/schemas/dataset/items,https://data.cms.gov/provider-data/dataset/2fpu-cgbb,Dataset update,2026-10-28,2026-07-15,2026-07-23T22:01:39Z,2026-07-23T22:01:39Z,0,Review Needed,Public update; review source document for vendor relevance.,56,Monitor,Unreviewed,Medicaid;CMS/Medicare,CMS;medicaid;medicare;quality measures,"Budget not explicitly stated;Informational signal, not a direct procurement",State averages of common dialysis quality measures.
cms_provider-2rkq-ygai,Dialysis Facility - National Averages,Federal,Centers for Medicare & Medicaid Services (CMS),CMS Provider Data Catalog API,https://data.cms.gov/provider-data/api/1/metastore/schemas/dataset/items,https://data.cms.gov/provider-data/dataset/2rkq-ygai,Dataset update,2026-10-28,2026-07-15,2026-07-23T22:01:39Z,2026-07-23T22:01:39Z,0,Review Needed,Public update; review source document for vendor relevance.,56,Monitor,Unreviewed,Medicaid;CMS/Medicare,CMS;medicaid;medicare;quality measures,"Budget not explicitly stated;Informational signal, not a direct procurement",National averages of common dialysis quality measures.
cms_provider-97z8-de96,Home Health Care - National Data,Federal,Centers for Medicare & Medicaid Services (CMS),CMS Provider Data Catalog API,https://data.cms.gov/provider-data/api/1/metastore/schemas/dataset/items,https://data.cms.gov/provider-data/dataset/97z8-de96,Dataset update,2026-10-21,2026-07-15,2026-07-23T22:01:39Z,2026-07-23T22:01:39Z,0,Review Needed,Public update; review source document for vendor relevance.,56,Monitor,Unreviewed,Medicaid;CMS/Medicare,CMS;medicaid;medicare;quality measures,"Budget not explicitly stated;Informational signal, not a direct procurement",The national averages for critical quality measures of Home Health Agencies.
cms_provider-tee5-ixt5,Home Health Care - State by State Data,Federal,Centers for Medicare & Medicaid Services (CMS),CMS Provider Data Catalog API,https://data.cms.gov/provider-data/api/1/metastore/schemas/dataset/items,https://data.cms.gov/provider-data/dataset/tee5-ixt5,Dataset update,2026-10-21,2026-07-15,2026-07-23T22:01:39Z,2026-07-23T22:01:39Z,0,Review Needed,Public update; review source document for vendor relevance.,56,Monitor,Unreviewed,Medicaid;CMS/Medicare,CMS;medicaid;medicare;quality measures,"Budget not explicitly stated;Informational signal, not a direct procurement",State averages of several home health agency quality measures for Home Health Agencies.
